T26,Population employed in research and development (R&D),,,,,
380,Italy,2014,R & D personnel: Total (number in full-time equivalent),"249,467",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
380,Italy,2014,R & D personnel: Researchers - total (number in full-time equivalent),"118,183",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
380,Italy,2014,R & D personnel: Researchers - women (number in full-time equivalent),"42,700",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
380,Italy,2015,R & D personnel: Total (number in full-time equivalent),"248,140",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
380,Italy,2015,R & D personnel: Researchers - total (number in full-time equivalent),"120,677",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
392,Japan,2005,R & D personnel: Total (number in full-time equivalent),"896,855",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
392,Japan,2005,R & D personnel: Researchers - total (number in full-time equivalent),"680,631",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
392,Japan,2005,R & D personnel: Technicians - total (number in full-time equivalent),"71,726",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
392,Japan,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"144,498",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
392,Japan,2010,R & D personnel: Total (number in full-time equivalent),"877,928",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
392,Japan,2010,R & D personnel: Researchers - total (number in full-time equivalent),"656,032",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
392,Japan,2010,R & D personnel: Technicians - total (number in full-time equivalent),"74,857",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
392,Japan,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"147,039",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
392,Japan,2015,R & D personnel: Total (number in full-time equivalent),"875,005",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
392,Japan,2015,R & D personnel: Researchers - total (number in full-time equivalent),"662,071",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
392,Japan,2015,R & D personnel: Technicians - total (number in full-time equivalent),"66,802",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
392,Japan,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"146,131",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
400,Jordan,2003,R & D personnel: Total (number in full-time equivalent),"42,153",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
400,Jordan,2003,R & D personnel: Researchers - total (number in full-time equivalent),"15,891",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
400,Jordan,2003,R & D personnel: Researchers - women (number in full-time equivalent),"3,385",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
400,Jordan,2003,R & D personnel: Technicians - total (number in full-time equivalent),"19,322",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
400,Jordan,2003,R & D personnel: Technicians - women (number in full-time equivalent),"2,073",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
400,Jordan,2003,R & D personnel: Other supporting staff - total (number in full-time equivalent),"6,940",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
400,Jordan,2003,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,101",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
400,Jordan,2008,R & D personnel: Researchers - total (number in full-time equivalent),"11,310",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
400,Jordan,2008,R & D personnel: Researchers - women (number in full-time equivalent),"2,548",Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
400,Jordan,2015,R & D personnel: Total (number in full-time equivalent),"11,908",Break in the time series.;Head count instead of Full-time equivalent.;Partial data.;Excluding data for other supporting staff.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
400,Jordan,2015,R & D personnel: Researchers - total (number in full-time equivalent),"9,092",Break in the time series.;Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
400,Jordan,2015,R & D personnel: Researchers - women (number in full-time equivalent),"1,790",Break in the time series.;Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
400,Jordan,2015,R & D personnel: Technicians - total (number in full-time equivalent),"2,816",Break in the time series.;Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
400,Jordan,2015,R & D personnel: Technicians - women (number in full-time equivalent),626,Break in the time series.;Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
398,Kazakhstan,2010,R & D personnel: Total (number in full-time equivalent),"8,325",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
398,Kazakhstan,2010,R & D personnel: Researchers - total (number in full-time equivalent),"6,022",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
398,Kazakhstan,2010,R & D personnel: Technicians - total (number in full-time equivalent),454,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
398,Kazakhstan,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,179",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
398,Kazakhstan,2013,R & D personnel: Total (number in full-time equivalent),"17,586",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
398,Kazakhstan,2013,R & D personnel: Researchers - total (number in full-time equivalent),"12,552",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
398,Kazakhstan,2013,R & D personnel: Technicians - total (number in full-time equivalent),"3,012",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
398,Kazakhstan,2013,R & D personnel: Other supporting staff - total (number in full-time equivalent),"2,022",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
398,Kazakhstan,2015,R & D personnel: Researchers - total (number in full-time equivalent),"18,454",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
404,Kenya,2010,R & D personnel: Total (number in full-time equivalent),"42,566",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
404,Kenya,2010,R & D personnel: Researchers - total (number in full-time equivalent),"9,305",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
404,Kenya,2010,R & D personnel: Researchers - women (number in full-time equivalent),"1,861",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
404,Kenya,2010,R & D personnel: Technicians - total (number in full-time equivalent),"26,384",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
404,Kenya,2010,R & D personnel: Technicians - women (number in full-time equivalent),"12,024",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
404,Kenya,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"6,877",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
404,Kenya,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,735",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
414,Kuwait,2005,R & D personnel: Total (number in full-time equivalent),800,Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
414,Kuwait,2005,R & D personnel: Researchers - total (number in full-time equivalent),384,Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
414,Kuwait,2005,R & D personnel: Technicians - total (number in full-time equivalent),96,Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
414,Kuwait,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),320,Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
414,Kuwait,2010,R & D personnel: Total (number in full-time equivalent),829,Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
414,Kuwait,2010,R & D personnel: Researchers - total (number in full-time equivalent),407,Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
414,Kuwait,2010,R & D personnel: Researchers - women (number in full-time equivalent),152,Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
414,Kuwait,2010,R & D personnel: Technicians - total (number in full-time equivalent),87,Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
414,Kuwait,2010,R & D personnel: Technicians - women (number in full-time equivalent),23,Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
414,Kuwait,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),335,Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
414,Kuwait,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),145,Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
414,Kuwait,2012,R & D personnel: Total (number in full-time equivalent),825,Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
414,Kuwait,2012,R & D personnel: Researchers - total (number in full-time equivalent),439,Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
414,Kuwait,2012,R & D personnel: Researchers - women (number in full-time equivalent),159,Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
414,Kuwait,2012,R & D personnel: Technicians - total (number in full-time equivalent),66,Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
414,Kuwait,2012,R & D personnel: Technicians - women (number in full-time equivalent),17,Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
414,Kuwait,2012,R & D personnel: Other supporting staff - total (number in full-time equivalent),320,Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
414,Kuwait,2012,R & D personnel: Other supporting staff - women (number in full-time equivalent),155,Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
417,Kyrgyzstan,2005,R & D personnel: Total (number in full-time equivalent),"3,419",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
417,Kyrgyzstan,2005,R & D personnel: Researchers - total (number in full-time equivalent),"2,187",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
417,Kyrgyzstan,2005,R & D personnel: Researchers - women (number in full-time equivalent),977,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
417,Kyrgyzstan,2005,R & D personnel: Technicians - total (number in full-time equivalent),226,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
417,Kyrgyzstan,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),498,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
417,Kyrgyzstan,2010,R & D personnel: Total (number in full-time equivalent),"3,129",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
417,Kyrgyzstan,2010,R & D personnel: Researchers - total (number in full-time equivalent),"1,974",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
417,Kyrgyzstan,2010,R & D personnel: Researchers - women (number in full-time equivalent),876,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
417,Kyrgyzstan,2010,R & D personnel: Technicians - total (number in full-time equivalent),261,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
417,Kyrgyzstan,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),428,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
417,Kyrgyzstan,2015,R & D personnel: Total (number in full-time equivalent),"4,557",Head count instead of Full-time equivalent.;Excluding private non-profit.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
417,Kyrgyzstan,2015,R & D personnel: Researchers - total (number in full-time equivalent),"3,441",Head count instead of Full-time equivalent.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
417,Kyrgyzstan,2015,R & D personnel: Researchers - women (number in full-time equivalent),"1,742",Head count instead of Full-time equivalent.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
417,Kyrgyzstan,2015,R & D personnel: Technicians - total (number in full-time equivalent),314,Head count instead of Full-time equivalent.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
417,Kyrgyzstan,2015,R & D personnel: Technicians - women (number in full-time equivalent),161,Head count instead of Full-time equivalent.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
417,Kyrgyzstan,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),403,Head count instead of Full-time equivalent.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
417,Kyrgyzstan,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),272,Head count instead of Full-time equivalent.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
418,Lao People's Dem. Rep.,2002,R & D personnel: Total (number in full-time equivalent),268,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
418,Lao People's Dem. Rep.,2002,R & D personnel: Researchers - total (number in full-time equivalent),87,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2005,R & D personnel: Total (number in full-time equivalent),"5,483",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2005,R & D personnel: Researchers - total (number in full-time equivalent),"3,282",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2005,R & D personnel: Researchers - women (number in full-time equivalent),"1,636",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2005,R & D personnel: Technicians - total (number in full-time equivalent),"1,062",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2005,R & D personnel: Technicians - women (number in full-time equivalent),554,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,139",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),594,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2010,R & D personnel: Total (number in full-time equivalent),"5,563",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2010,R & D personnel: Researchers - total (number in full-time equivalent),"3,896",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2010,R & D personnel: Researchers - women (number in full-time equivalent),"1,823",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2010,R & D personnel: Technicians - total (number in full-time equivalent),915,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2010,R & D personnel: Technicians - women (number in full-time equivalent),401,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),752,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),439,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2011,R & D personnel: Total (number in full-time equivalent),"5,432",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2011,R & D personnel: Researchers - total (number in full-time equivalent),"3,947",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2011,R & D personnel: Researchers - women (number in full-time equivalent),"2,045",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2011,R & D personnel: Technicians - total (number in full-time equivalent),819,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2011,R & D personnel: Technicians - women (number in full-time equivalent),387,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2011,R & D personnel: Other supporting staff - total (number in full-time equivalent),666,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2011,R & D personnel: Other supporting staff - women (number in full-time equivalent),440,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2013,R & D personnel: Total (number in full-time equivalent),"5,396",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2013,R & D personnel: Researchers - total (number in full-time equivalent),"3,625",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2013,R & D personnel: Researchers - women (number in full-time equivalent),"1,829",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2015,R & D personnel: Total (number in full-time equivalent),"5,570",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
428,Latvia,2015,R & D personnel: Researchers - total (number in full-time equivalent),"3,613",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
426,Lesotho,2004,R & D personnel: Total (number in full-time equivalent),51,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
426,Lesotho,2004,R & D personnel: Researchers - total (number in full-time equivalent),20,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
426,Lesotho,2004,R & D personnel: Researchers - women (number in full-time equivalent),10,Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
426,Lesotho,2004,R & D personnel: Technicians - total (number in full-time equivalent),21,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
426,Lesotho,2004,R & D personnel: Other supporting staff - total (number in full-time equivalent),10,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
426,Lesotho,2009,R & D personnel: Total (number in full-time equivalent),105,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
426,Lesotho,2009,R & D personnel: Researchers - total (number in full-time equivalent),46,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
426,Lesotho,2009,R & D personnel: Researchers - women (number in full-time equivalent),16,Partial data.;Underestimated or based on underestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
426,Lesotho,2009,R & D personnel: Technicians - total (number in full-time equivalent),47,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
426,Lesotho,2009,R & D personnel: Other supporting staff - total (number in full-time equivalent),11,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
426,Lesotho,2015,R & D personnel: Total (number in full-time equivalent),72,Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
